assembly_accession,bioproject_accession,biosample_accession,cell_shape,class,common_name,completion_date,contigs,culture_collection,date_inserted,date_modified,family,gc_content,genbank_accessions,genome_id,genome_length,genome_name,genome_status,genus,gram_stain,habitat,kingdom,motility,order,owner,oxygen_requirement,patric_cds,phylum,plasmids,public,publication,refseq_cds,sequencing_centers,species,strain,taxon_id,temperature_range,superkingdom,cds,sequencing_status,taxon_lineage_ids,comments,taxon_lineage_names,_version_,contig_n50,hypothetical_cds_ratio,contig_l50,rrna,partial_cds_ratio,lab_host,trna,chromosomes,host_name,cds_ratio,partial_cds,plfam_cds_ratio,disease,checkm_completeness,checkm_contamination,coarse_consistency,fine_consistency,genome_quality,hypothetical_cds,mlst,p2_genome_id,plfam_cds,genome_quality_flags,assembly_method,ncbi_project_id,organism_name,refseq_accessions,sequencing_depth,sequencing_platform,serovar,optimal_temperature,refseq_project_id,sporulation,cgmlst_id,cgmlst_hc0,cgmlst_hc2,cgmlst_hc5,cgmlst_hc10,cgmlst_hc20,cgmlst_hc50,cgmlst_hc100,collection_year,collection_date,geographic_location,host_common_name,host_group,host_health,isolation_country,isolation_source,host_scientific_name,geographic_group,pathovar,additional_metadata,type_strain,isolation_comments,other_clinical,passage,other_typing,sra_accession,state_province,antimicrobial_resistance_evidence,body_sample_site,antimicrobial_resistance,host_age,host_gender,other_environmental,salinity,reference_genome,longitude,latitude,isolation_site
GCA_000313465.1,PRJEB547,SAMEA2272556,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_ST258-K26BO,2012-10-26T00:00:00Z,193, ,2014-12-08T22:11:51.165Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,57.03,CANR00000000,1185419.3,5526679,Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC,,5486.0,Pseudomonadota,0.0,True,,5631.0,UNIMI,Klebsiella pneumoniae,ST258-K26BO,1185419,,Bacteria,5486,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1460422', '1185419']",['illumina sequencing of a multidrug resistance Klebsiella pneumoniae isolate obtained in an Italian hospital. The isolate belongs to MLST strain 258.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae ST258', 'Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO']",1851322309579636700,69577.0,0.16,23.0,19.0,0.0,,80.0,0.0,"Human, Homo sapiens",0.99,0.0,0.99,,92.0,3.9,97.0,94.0,Good,857.0,MLST.klebsiella.258,241412.0,5458.0,,,160291,Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO,-,,,,,180983,,1185419.3,16214,16214,16214,16214,16214,16214,2,,,Italy: Bologna,Human,Human,,Italy,patient,Homo sapiens,Europe,,,,,,,,,,,,,,,,,,,,
GCA_000294365.1,PRJNA167369,SAMN02603641,Bacilli,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_1084,2012-08-29T00:00:00Z,1,,2014-12-08T22:11:50.580Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,57.4,CP003785.1,1193292.6,5386705,Klebsiella pneumoniae subsp. pneumoniae 1084,Complete,Klebsiella,Negative,,Pseudomonadati,,Enterobacterales,PATRIC,,5045.0,Pseudomonadota,0.0,True,,4962.0,National Chung Hsing University,Klebsiella pneumoniae,1084,1193292,,Bacteria,5045,Complete,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1193292']","['""Complete genome sequencing of K. pneumoniae 1084, a hypermucoviscosity-negative clinical isloate strain.""']","['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae 1084']",1851322309580685300,5386705.0,0.12,1.0,25.0,0.0,,80.0,1.0,,0.94,0.0,1.0,,99.3,0.3,99.2,97.8,Good,621.0,MLST.klebsiella.23,243659.0,5043.0,,,167369,Klebsiella pneumoniae subsp. pneumoniae 1084,NC_018522.1,,,,,174151,,1193292.6,25150,25150,25150,25150,25150,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000714675.1,PRJNA173233,SAMN02786855,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH24,2016-07-26T00:00:00Z,1,,2017-12-29T23:11:00.400Z,2017-12-29T23:11:00.400Z,Enterobacteriaceae,55.58,CP008798,1225181.6,85473,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,104.0,Pseudomonadota,1.0,True,,84.0,NISC,Klebsiella pneumoniae,KPNIH24,1225181,,Bacteria,104,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1225181']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH24']",1850622598104219600,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,173x,Pacific Biosciences RS II,,,,,,,,,,,,,2012.0,2012,United States,Human,Human,,USA,throat/groin,Homo sapiens,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000714675.1,PRJNA173233,SAMN02786855,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH24,2016-07-26T00:00:00Z,1,,2017-12-29T23:11:00.545Z,2017-12-29T23:11:00.545Z,Enterobacteriaceae,48.55,CP008799,1225181.7,58050,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,86.0,Pseudomonadota,1.0,True,,64.0,NISC,Klebsiella pneumoniae,KPNIH24,1225181,,Bacteria,86,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1225181']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH24']",1850622598104219600,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,173x,Pacific Biosciences RS II,,,,,,,,,,,,,2012.0,2012,United States,Human,Human,,USA,throat/groin,Homo sapiens,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000717515.1,PRJNA198784,SAMN02786856,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPR0928,2016-07-26T00:00:00Z,1,,2017-12-29T23:11:18.492Z,2017-12-29T23:11:18.492Z,Enterobacteriaceae,53.93,CP008833,1328325.7,113639,Klebsiella pneumoniae subsp. pneumoniae KPR0928,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,146.0,Pseudomonadota,1.0,True,,122.0,NISC,Klebsiella pneumoniae,KPR0928,1328325,,Bacteria,146,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1328325']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPR0928']",1850622598105268200,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,170x,Pacific Biosciences RS II,,,,,,,,,,,,,2012.0,2012,United States,Human,Human,,USA,sputum,Homo sapiens,,,,,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_000717515.1,PRJNA198784,SAMN02786856,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPR0928,2016-07-26T00:00:00Z,1,,2017-12-29T23:10:45.272Z,2017-12-29T23:10:45.272Z,Enterobacteriaceae,53.68,CP008832,1328325.6,13841,Klebsiella pneumoniae subsp. pneumoniae KPR0928,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,20.0,Pseudomonadota,1.0,True,,16.0,NISC,Klebsiella pneumoniae,KPR0928,1328325,,Bacteria,20,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1328325']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPR0928']",1850622598133579800,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,170x,Pacific Biosciences RS II,,,,,,,,,,,,,2012.0,2012,United States,Human,Human,,USA,sputum,Homo sapiens,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000714675.1,PRJNA173233,SAMN02786855,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH24,2016-07-26T00:00:00Z,1,,2017-12-29T23:11:17.774Z,2017-12-29T23:11:17.774Z,Enterobacteriaceae,52.47,CP008800,1225181.8,194877,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,250.0,Pseudomonadota,1.0,True,,185.0,NISC,Klebsiella pneumoniae,KPNIH24,1225181,,Bacteria,250,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1225181']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH24']",1850622598147211300,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,173x,Pacific Biosciences RS II,,,,,,,,,,,,,2012.0,2012,United States,Human,Human,,USA,throat/groin,Homo sapiens,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000281435.2,PRJNA73843,SAMN01057614,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH10,2016-07-26T00:00:00Z,1,,2017-12-29T23:07:37.212Z,2017-12-29T23:07:37.212Z,Enterobacteriaceae,53.54,AKAC00000000,1094170.7,15096,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,22.0,Pseudomonadota,1.0,True,22914622,15.0,NISC,Klebsiella pneumoniae,KPNIH10,1094170,,Bacteria,22,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1094170']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH10']",1850622598152454100,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,160x,Pacific Biosciences RS II,,,,,,,,,,,,,2011.0,2011,United States,Human,Human,,USA,groin,Homo sapiens,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000281435.2,PRJNA73843,SAMN01057614,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH10,2016-07-26T00:00:00Z,1,,2017-12-29T23:08:39.896Z,2017-12-29T23:08:39.896Z,Enterobacteriaceae,53.93,AKAC00000000,1094170.9,113639,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,148.0,Pseudomonadota,1.0,True,22914622,123.0,NISC,Klebsiella pneumoniae,KPNIH10,1094170,,Bacteria,148,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1094170']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH10']",1850622598156648400,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,160x,Pacific Biosciences RS II,,,,,,,,,,,,,2011.0,2011,United States,Human,Human,,USA,groin,Homo sapiens,,,,,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_000281435.2,PRJNA73843,SAMN01057614,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH10,2016-07-26T00:00:00Z,1,,2017-12-29T23:08:40.310Z,2017-12-29T23:08:40.310Z,Enterobacteriaceae,53.22,AKAC00000000,1094170.8,243824,Klebsiella pneumoniae subsp. pneumoniae KPNIH10,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,316.0,Pseudomonadota,1.0,True,22914622,248.0,NISC,Klebsiella pneumoniae,KPNIH10,1094170,,Bacteria,316,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1094170']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH10']",1850622598156648400,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,HGAP v. 2,,,,160x,Pacific Biosciences RS II,,,,,,,,,,,,,2011.0,2011,United States,Human,Human,,USA,groin,Homo sapiens,,,,,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_000240185.2,PRJNA78789,SAMN02602959,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_HS11286,2016-07-25T00:00:00Z,1,,2017-12-29T22:06:49.271Z,2017-12-29T22:06:49.271Z,Enterobacteriaceae,52.46,CP003225,1125630.94,105974,Klebsiella pneumoniae subsp. pneumoniae HS11286,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,152.0,Pseudomonadota,1.0,True,,152.0,"Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",Klebsiella pneumoniae,HS11286,1125630,,Bacteria,152,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1125630']",['Comparative genome analysis'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae HS11286']",1850622582903013400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000240185.2,PRJNA78789,SAMN02602959,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_HS11286,2016-07-25T00:00:00Z,1,,2017-12-29T22:06:17.828Z,2017-12-29T22:06:17.828Z,Enterobacteriaceae,52.17,CP003226,1125630.95,3751,Klebsiella pneumoniae subsp. pneumoniae HS11286,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,4.0,Pseudomonadota,1.0,True,,4.0,"Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",Klebsiella pneumoniae,HS11286,1125630,,Bacteria,4,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1125630']",['Comparative genome analysis'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae HS11286']",1850622584662524000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000240185.2,PRJNA78789,SAMN02602959,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_HS11286,2016-07-25T00:00:00Z,1,,2017-12-29T22:06:33.702Z,2017-12-29T22:06:33.702Z,Enterobacteriaceae,49.46,CP003223,1125630.92,122799,Klebsiella pneumoniae subsp. pneumoniae HS11286,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,143.0,Pseudomonadota,1.0,True,,141.0,"Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",Klebsiella pneumoniae,HS11286,1125630,,Bacteria,143,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1125630']",['Comparative genome analysis'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae HS11286']",1850622584668815400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000240185.2,PRJNA78789,SAMN02602959,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_HS11286,2016-07-25T00:00:00Z,1,,2017-12-29T22:06:18.163Z,2017-12-29T22:06:18.163Z,Enterobacteriaceae,42.83,CP003227,1125630.96,3353,Klebsiella pneumoniae subsp. pneumoniae HS11286,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,5.0,Pseudomonadota,1.0,True,,5.0,"Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",Klebsiella pneumoniae,HS11286,1125630,,Bacteria,5,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1125630']",['Comparative genome analysis'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae HS11286']",1850622584734875600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000240185.2,PRJNA78789,SAMN02602959,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_HS11286,2016-07-25T00:00:00Z,1,,2017-12-29T22:06:18.411Z,2017-12-29T22:06:18.411Z,Enterobacteriaceae,53.31,CP003224,1125630.93,111195,Klebsiella pneumoniae subsp. pneumoniae HS11286,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,159.0,Pseudomonadota,1.0,True,,160.0,"Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",Klebsiella pneumoniae,HS11286,1125630,,Bacteria,159,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1125630']",['Comparative genome analysis'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae HS11286']",1850622584751652900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computational Prediction,,"['Susceptible', 'Resistant']",,,,,,,,
GCA_000240185.2,PRJNA78789,SAMN02602959,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_HS11286,2016-07-25T00:00:00Z,1,,2017-12-29T22:06:18.554Z,2017-12-29T22:06:18.554Z,Enterobacteriaceae,47.94,CP003228,1125630.97,1308,Klebsiella pneumoniae subsp. pneumoniae HS11286,Plasmid,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC@patricbrc.org,,1.0,Pseudomonadota,1.0,True,,1.0,"Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University",Klebsiella pneumoniae,HS11286,1125630,,Bacteria,1,Plasmid,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1125630']",['Comparative genome analysis'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae HS11286']",1850622584760041500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Computational Prediction,,['Susceptible'],,,,,,,,
GCA_000281255.1,PRJNA73195,SAMN01057609,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH2,2012-07-24T00:00:00Z,147,,2014-12-08T22:11:50.753Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,57.2,AJZV00000000,1087441.3,5724800,Klebsiella pneumoniae subsp. pneumoniae KPNIH2,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC,,5569.0,Pseudomonadota,0.0,True,22914622,5630.0,NIH Intramural Sequencing Center,Klebsiella pneumoniae,KPNIH2,1087441,,Bacteria,5569,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1087441']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH2']",1851322309558665200,154879.0,0.15,13.0,34.0,0.0,,87.0,0.0,"Human, Homo sapiens",0.97,0.0,1.0,,100.0,0.0,99.6,98.2,Good,833.0,MLST.klebsiella.258,237831.0,5562.0,,Newbler v. 2.5.3,73195,Klebsiella pneumoniae subsp. pneumoniae KPNIH2,-,28.0x,Roche/454 XLR,,,,,1087441.3,22515,22515,3384,3384,2,2,2,2011.0,2011,United States,Human,Human,,USA,wound,Homo sapiens,,,,,,,,,SRR515502,,AMR Panel,,,,,,,,,,
GCA_000281295.1,PRJNA73203,SAMN01057608,,Gammaproteobacteria,Klebsiella_pneumoniae_subsp_pneumoniae_KPNIH6,2012-07-24T00:00:00Z,149,,2014-12-08T22:11:50.819Z,2015-03-16T03:17:09.594Z,Enterobacteriaceae,57.2,AJZY00000000,1087445.3,5714943,Klebsiella pneumoniae subsp. pneumoniae KPNIH6,WGS,Klebsiella,,,Pseudomonadati,,Enterobacterales,PATRIC,,5591.0,Pseudomonadota,0.0,True,22914622,5620.0,NIH Intramural Sequencing Center,Klebsiella pneumoniae,KPNIH6,1087445,,Bacteria,5591,WGS,"['131567', '2', '3379134', '1224', '1236', '91347', '543', '2890311', '570', '3390273', '573', '72407', '1087445']",['Whole genome sequencing of carbapenem-resistant Klebsiella pneumoniae.'],"['cellular organisms', 'Bacteria', 'Pseudomonadati', 'Pseudomonadota', 'Gammaproteobacteria', 'Enterobacterales', 'Enterobacteriaceae', 'Klebsiella/Raoultella group', 'Klebsiella', 'Klebsiella pneumoniae complex', 'Klebsiella pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae', 'Klebsiella pneumoniae subsp. pneumoniae KPNIH6']",1851322309560762400,130041.0,0.15,14.0,29.0,0.0,,84.0,0.0,"Human, Homo sapiens",0.98,0.0,1.0,,100.0,0.0,99.4,97.7,Good,840.0,MLST.klebsiella.258,235037.0,5579.0,,Newbler v. 2.5.3,73203,Klebsiella pneumoniae subsp. pneumoniae KPNIH6,-,27.0x,454 GS FLX,,,,,1087445.3,22518,22515,3384,3384,2,2,2,2011.0,2011,United States,Human,Human,,USA,peritoneal fluid,Homo sapiens,,,,,,,,,SRR515500,,,,,,,,,,,,
